author;gender
A.C. Crispin;Female
Agustina Bazterrica;Female
Akemi Dawn Bowman;Female
Alexandra Bracken;Female
Ally Condie;Female
Amal El-Mohtar;Female
Amie Kaufman;Female
Andre Norton;Female
Ann Aguirre;Female
Ann Leckie;Female
Anna Bowman Dodd;Female
Anna Kavan;Female
Anne McCaffrey;Female
Anne McCaffrey, Mercedes Lackey;Female
Arkady Martine;Female
Audrey Niffenegger;Female
Ayn Rand;Female
Barbara Hambly;Female
Becky Chambers;Female
Beth Revis;Female
C.J. Cherryh;Female
C.L. Moore;Female
C.S. Friedman;Female
Caragh M. O'Brien;Female
Catherine Fisher;Female
Catherine Helen Spence;Female
Catherynne M. Valente;Female
Cecelia Holland;Female
Celeste Ng;Female
Charlie Jane Anders;Female
Charlotte Perkins Gilman;Female
Cherie Priest;Female
Christina Dalcher;Female
Christina Sweeney-Baird;Female
Cicely Hamilton;Female
Claire North;Female
Claudia Gray;Female
Connie Willis;Female
Daphne du Maurier;Female
Diana Wynne Jones;Female
Diane Carey;Female
Diane Cook;Female
Diane Duane;Female
Donna Barba Higuera;Female
Eleanor Cameron;Female
Elizabeth Moon;Female
Ellen MacGregor;Female
Emily Jane;Female
Emily St. John Mandel;Female
Emily Tesh;Female
Emma Straub;Female
Everina Maxwell;Female
Francis Stevens;Female
Gabrielle Korn;Female
Gemma Malley;Female
Ilona Andrews;Female
J.S. Dewes;Female
Jacqueline Harpman;Female
Jael Richardson;Female
Jane Yolen;Female
Jean Hegland;Female
Jean Lorrah;Female
Jeanne DuPrau;Female
Jennifer Egan;Female
Jennifer L. Armentrout;Female
Jessamine Chan;Female
Jessie Mihalik;Female
Jo Harkin;Female
Joan D. Vinge;Female
Joan He;Female
Joan Slonczewski;Female
Joanna Russ;Female
Jodi Taylor;Female
Joelle Charbonneau;Female
Judith Merril;Female
Juli Zeh;Female
Julian May;Female
K.A. Applegate;Female
K.A. Knight;Female
K.M. Szpara;Female
Kage Baker;Female
Kali Wallace;Female
Kaliane Bradley;Female
Karen Thompson Walker;Female
Karin Boye;Female
Kass Morgan;Female
Kate Elliott;Female
Kate Wilhelm;Female
Katharine Burdekin;Female
Katharine McGee;Female
Kathe Koja;Female
Kathy Tyers;Female
Kerstin Gier;Female
Kiera Cass;Female
Kim Liggett;Female
Kristine Kathryn Rusch;Female
L.R. Lam;Female
Laurann Dohner;Female
Lauren Beukes;Female
Lauren DeStefano;Female
Lauren Oliver;Female
Lauren Thoman;Female
Leigh Brackett;Female
Lily Brooks-Dalton;Female
Linden A. Lewis;Female
Lindsay Ellis;Female
Ling Ma;Female
Lissa Price;Female
Lois Lowry;Female
Lois McMaster Bujold;Female
Lydia Millet;Female
M.J. Engh;Female
Madeleine L'Engle;Female
Malka Ann Older;Female
Malorie Blackman;Female
Maren Uthaug;Female
Margaret Atwood;Female
Margaret Peterson Haddix;Female
Marge Piercy;Female
Marie Lu;Female
Marion Zimmer Bradley;Female
Marisa Crane;Female
Marissa Levien;Female
Marissa Meyer;Female
Marlen Haushofer;Female
Marlys Millhiser;Female
Martha Wells;Female
Mary Doria Russell;Female
Mary E. Bradley Lane;Female
Mary E. Pearson;Female
Mary Robinette Kowal;Female
Mary Wollstonecraft Shelley;Female
Meg Rosoff;Female
Megan Angelo;Female
Micaiah Johnson;Female
Mira Grant;Female
Misba;Female
Moira Young;Female
Monica Byrne;Female
Monica Hughes;Female
Mur Lafferty;Female
Muriel Jaeger;Female
N.E. Davenport;Female
N.K. Jemisin;Female
Nalo Hopkinson;Female
Nancy Farmer;Female
Nancy Kress;Female
Naomi Alderman;Female
Naomi Mitchison;Female
Natalie Zina Walschots;Female
Natasha Pulley;Female
Nicola Griffith;Female
Nicole Kornher-Stace;Female
Nikki Erlick;Female
Nnedi Okorafor;Female
Octavia E. Butler;Female
P.D. James;Female
Pamela Sargent;Female
Patricia Kennealy-Morrison;Female
Rachel Ward;Female
Rebecca Stead;Female
Rory Power;Female
Rose Macaulay;Female
Ruby Dixon;Female
S.A. Barnes;Female
S.A. Bodeen;Female
S.B. Divya;Female
S.G. Blaise;Female
Samantha Shannon;Female
Sara Flannery Murphy;Female
Sarah Pinsker;Female
Scarlett Thomas;Female
Sharon Lee;Female
Sheri S. Tepper;Female
Sherrilyn Kenyon;Female
Sierra Greer;Female
Silvia Moreno-Garcia;Female
Sondra Marshak;Female
Stephenie Meyer;Female
Stina Leicht;Female
Storm Constantine;Female
Susan Beth Pfeffer;Female
Suzanne Collins;Female
Suzanne Weyn;Female
Suzanne Young;Female
Suzette Haden Elgin;Female
Sylvia Engdahl;Female
T.A. White;Female
Tahereh Mafi;Female
Tamsyn Muir;Female
Tananarive Due;Female
Tanith Lee;Female
Taylor Caldwell;Female
Thea Beckman;Female
Thea von Harbou;Female
Ursula K. Le Guin;Female
Veronica Rossi;Female
Veronica Roth;Female
Victoria E. Schwab;Female
Victoria Forester;Female
Victoria Schwab;Female
Vonda N. McIntyre;Female
Xiran Jay Zhao;Female
Yume Kitasei;Female
Yōko Ogawa;Female
Zoe Hana Mikuta;Female
louise-lawrence;Female
A. Merritt;Male
A.E. van Vogt;Male
A.G. Riddle;Male
A.R. Merrydew;Male
Adolfo Bioy Casares;Male
Adrian Tchaikovsky;Male
Alan Dean Foster;Male
Alan E. Nourse;Male
Alastair Reynolds;Male
Albert Robida;Male
Aldous Huxley;Male
Aleksey Nikolayevich Tolstoy;Male
Alexander Belyaev;Male
Alexander Key;Male
Alexandr Bogdanov;Male
Alexei Panshin;Male
Alfred Bester;Male
Algis Budrys;Male
Andrew Clements;Male
Andrew Hunter Murray;Male
Andy Weir;Male
Anthony Burgess;Male
Anthony Doerr;Male
Arkady Strugatsky;Male
Arno Schmidt;Male
Arthur C. Clarke;Male
Arthur Conan Doyle;Male
